Field(0, 0)
Medicine(13360, 80, *)
Medicine(28880, 160, *)
Medicine(29040, 160, +)
Medicine(640, 800, +)
Armor(1280, 800, })
Armor(15760, 800, })
Medicine(25360, 1360, *)
Armor(28080, 1920, })
Armor(15360, 2480, })
Medicine(6880, 3280, +)
Medicine(15200, 3680, +)
Medicine(4080, 4080, +)
Medicine(11360, 4160, +)
Medicine(22880, 4240, *)
Medicine(31840, 4400, *)
Medicine(14160, 4880, +)
Armor(28960, 4960, })
Armor(20960, 5200, })
Medicine(2720, 5680, +)
Armor(2480, 5840, })
Medicine(31360, 7040, +)
Medicine(30480, 7840, *)
Medicine(31840, 7840, *)
Medicine(6800, 8400, +)
Medicine(560, 8640, +)
Medicine(25040, 10480, *)
Medicine(30080, 11760, +)
Medicine(30960, 12160, *)
Medicine(16000, 12320, +)
Medicine(13440, 12800, *)
Medicine(9760, 13280, +)
Medicine(18400, 13280, +)
Medicine(13920, 13760, *)
Medicine(13280, 14240, +)
Medicine(25680, 15760, *)
Medicine(19600, 16000, *)
Medicine(560, 16080, *)
Medicine(19040, 16560, +)
Medicine(25920, 17040, *)
Medicine(23920, 17120, *)
Medicine(8560, 17920, +)
Medicine(14240, 19040, +)
Medicine(160, 19440, *)
Medicine(12000, 19520, +)
Medicine(22320, 19520, *)
Medicine(8960, 19600, +)
Armor(31680, 19680, })
Medicine(16880, 19840, *)
Medicine(13440, 20000, +)
Medicine(31280, 20000, +)
Medicine(14400, 20320, *)
Medicine(17040, 20320, *)
Medicine(14800, 20960, +)
Armor(2480, 21600, })
Medicine(11760, 22000, *)
Medicine(25280, 22000, +)
Medicine(5600, 22080, +)
Armor(6400, 22800, {)
Medicine(15200, 22800, *)
Medicine(26080, 23120, *)
Medicine(13440, 23360, +)
Armor(27840, 24560, })
Medicine(7280, 25040, +)
Medicine(31280, 25040, +)
Medicine(7120, 26080, +)
Medicine(13680, 26080, *)
Medicine(17200, 26400, +)
Medicine(20000, 26560, +)
Medicine(26720, 27040, +)
Medicine(16240, 27360, +)
Armor(15920, 27440, })
Medicine(7600, 28080, +)
Medicine(26000, 28480, *)
Medicine(21120, 28880, *)
Weapon(20080, 240, y, 10, 10, 0)
Weapon(9920, 640, w, 7, 7, 0)
Weapon(10800, 1040, w, 7, 7, 0)
Weapon(8480, 1200, y, 10, 10, 0)
Weapon(7120, 1360, w, 7, 7, 0)
Weapon(24880, 1360, x, 3, 30, 0)
Weapon(20000, 1520, z, -1, 1, 0)
Weapon(880, 2400, y, 10, 10, 0)
Weapon(1680, 2800, w, 7, 7, 0)
Weapon(8000, 2960, x, 3, 30, 0)
Weapon(14080, 3120, w, 7, 7, 0)
Weapon(2320, 3680, w, 7, 7, 0)
Weapon(19840, 4400, x, 3, 30, 0)
Weapon(7280, 4640, w, 7, 7, 0)
Weapon(8080, 4720, y, 10, 10, 0)
Weapon(12320, 4960, z, -1, 1, 0)
Weapon(29680, 5200, z, -1, 1, 0)
Weapon(5600, 5600, x, 3, 30, 0)
Weapon(20240, 5680, x, 3, 30, 0)
Weapon(19120, 5760, y, 10, 10, 0)
Weapon(5760, 6720, w, 7, 7, 0)
Weapon(21280, 6720, w, 7, 7, 0)
Weapon(29680, 7280, y, 10, 10, 0)
Weapon(5520, 7680, w, 7, 7, 0)
Weapon(3440, 7760, w, 7, 7, 0)
Weapon(13360, 7840, w, 7, 7, 0)
Weapon(13840, 8160, y, 10, 10, 0)
Weapon(27520, 8560, x, 3, 30, 0)
Weapon(3440, 9040, x, 3, 30, 0)
Weapon(14480, 9120, y, 10, 10, 0)
Weapon(24800, 9120, y, 10, 10, 0)
Weapon(17600, 9440, x, 3, 30, 0)
Weapon(8000, 9680, w, 7, 7, 0)
Weapon(5600, 10000, y, 10, 10, 0)
Weapon(20640, 10000, x, 3, 30, 0)
Weapon(14560, 10400, x, 3, 30, 0)
Weapon(9920, 11280, w, 7, 7, 0)
Weapon(11840, 11680, x, 3, 30, 0)
Weapon(2000, 11840, y, 10, 10, 0)
Weapon(6480, 11920, y, 10, 10, 0)
Weapon(24400, 12000, w, 7, 7, 0)
Weapon(20160, 12720, z, -1, 1, 0)
Weapon(29200, 13040, w, 7, 7, 0)
Weapon(6960, 13360, w, 7, 7, 0)
Weapon(21200, 13600, y, 10, 10, 0)
Weapon(23040, 13680, w, 7, 7, 0)
Weapon(15840, 14080, w, 7, 7, 0)
Weapon(10160, 14560, w, 7, 7, 0)
Weapon(19520, 14560, w, 7, 7, 0)
Weapon(6800, 14720, y, 10, 10, 0)
Weapon(560, 16160, w, 7, 7, 0)
Weapon(4480, 16560, y, 10, 10, 0)
Weapon(11360, 16880, y, 10, 10, 0)
Weapon(9120, 17520, x, 3, 30, 0)
Weapon(20240, 17760, w, 7, 7, 0)
Weapon(11440, 18160, w, 7, 7, 0)
Weapon(3520, 18320, w, 7, 7, 0)
Weapon(12960, 18560, y, 10, 10, 0)
Weapon(1840, 18720, x, 3, 30, 0)
Weapon(31120, 18720, w, 7, 7, 0)
Weapon(7040, 18800, x, 3, 30, 0)
Weapon(16880, 18800, x, 3, 30, 0)
Weapon(28800, 19760, y, 10, 10, 0)
Weapon(6880, 21120, x, 3, 30, 0)
Weapon(4800, 21520, w, 7, 7, 0)
Weapon(28720, 21520, w, 7, 7, 0)
Weapon(11280, 21600, y, 10, 10, 0)
Weapon(13200, 21840, x, 3, 30, 0)
Weapon(15120, 22720, x, 3, 30, 0)
Weapon(17600, 22960, y, 10, 10, 0)
Weapon(11360, 23280, w, 7, 7, 0)
Weapon(23840, 23840, w, 7, 7, 0)
Weapon(21920, 23920, z, -1, 1, 0)
Weapon(21440, 24080, w, 7, 7, 0)
Weapon(17120, 25440, x, 3, 30, 0)
Weapon(12160, 26320, x, 3, 30, 0)
Weapon(7520, 26720, y, 10, 10, 0)
Weapon(25600, 26800, y, 10, 10, 0)
Weapon(15680, 27200, x, 3, 30, 0)
Weapon(27840, 28560, z, -1, 1, 0)
Weapon(27280, 28640, w, 7, 7, 0)
Weapon(22960, 29200, x, 3, 30, 0)
Weapon(25040, 30080, x, 3, 30, 0)
Weapon(26480, 30640, y, 10, 10, 0)
Enemy(28160, 160, a, 50, 1, [Weapon(28160, 160, y, 10, 10, 0)])
Enemy(31680, 160, d, 50, 1, [Weapon(31680, 160, w, 7, 7, 0)])
Enemy(80, 560, a, 50, 1, [Weapon(80, 560, y, 10, 10, 0)])
Enemy(80, 640, b, 50, 1, [Weapon(80, 640, z, -1, 1, 0)])
Enemy(10800, 640, b, 50, 1, [Weapon(10800, 640, z, -1, 1, 0)])
